year,area,total_conc,total_fem,total_masc,prop_conc,prop_fem,prop_masc
2012,Health & Medical,163985,126839,37146,0.1903751895219056,0.23178032227294157,0.11824664162475329
2012,Natural Sciences,13795,7762,6033,0.016015036371952847,0.014183956523487038,0.019204813140637933
2012,Other/Unknown,16963,7232,9731,0.019692864224533247,0.013215456528969114,0.030976634621506335
2012,Social & Behavioral Sciences,44835,30473,14362,0.05205031937198303,0.05568509496782022,0.045718469472209845
2012,Total,861378,547238,314140,1,1,1
2013,Arts & Humanities,17928,9349,8579,0.02252125499969851,0.01873622189266103,0.028878909879219573
2013,Business & Management,276320,157110,119210,0.3471147468494362,0.3148623191310273,0.40128859385729865
2013,Education,201487,153777,47710,0.25310910899845235,0.3081826926930939,0.1606029595917433
2013,Engineering,85004,24454,60550,0.10678250557755312,0.049007976271594055,0.20382538678013115
2013,Health & Medical,142240,109600,32640,0.17868269250095473,0.21964808208745842,0.10987383360038779
2013,Natural Sciences,13004,7460,5544,0.01633569834984825,0.014950499017996713,0.018662393795359986
2013,Other/Unknown,16848,7489,9359,0.021164552891282936,0.01500861757986292,0.03150457134393472
2013,Social & Behavioral Sciences,43217,29741,13476,0.0542894398327739,0.05960359132630566,0.04536335115192481
2013,Total,796048,498980,297068,1,1,1
2014,Arts & Humanities,18687,9596,9091,0.022762874843777026,0.018534972301844227,0.029981729316861137
2014,Business & Management,278641,160535,118106,0.3394161828728461,0.3100783429008506,0.38950853841130806
2014,Education,217220,166257,50963,0.2645984734609753,0.3211305637752934,0.16807379509132045
2014,Engineering,92241,28146,64095,0.11235994747497387,0.05436487394828132,0.21138256963636723
2014,Health & Medical,138578,107265,31313,0.16880364264466918,0.20718568194636525,0.10326893522152379
2014,Natural Sciences,13222,7580,5642,0.016105888113898424,0.014641005632344647,0.01860707477788258
2014,Other/Unknown,18077,7964,10113,0.022019826004760386,0.015382713569392185,0.033352241621539616
2014,Social & Behavioral Sciences,44276,30381,13895,0.05393316458409973,0.05868184592562833,0.04582511592319717
2014,Total,820942,517724,303218,1,1,1
2015,Arts & Humanities,17980,9263,8717,0.01957575698189297,0.015841364036700386,0.026118508575332287
2015,Business & Management,310489,180985,129504,0.33804545103175565,0.3095162766039317,0.38802929156129773
2015,Education,238302,184724,53578,0.25945172637925795,0.31591062618109056,0.16053429533660127
2015,Engineering,108200,34337,73863,0.11780294246055724,0.05872232720805151,0.22131368577489602
2015,Health & Medical,161008,124902,36106,0.17529774639269316,0.21360445329935782,0.10818341982573679
2015,Natural Sciences,14187,8124,6063,0.015446121485100977,0.013893473111751478,0.018166400997159535
2015,Other/Unknown,20602,9166,11436,0.0224304641457708,0.01567547692544486,0.03426537387489963
2015,Social & Behavioral Sciences,47715,33234,14481,0.051949791122971246,0.05683600263367166,0.04338902405407673
2015,Total,918483,584735,333748,1,1,1
2016,Arts & Humanities,18936,9837,9099,0.019840612904780563,0.01626670988140201,0.026021379913862625
2016,Business & Management,309681,182449,127232,0.3244751185554156,0.3017022416541542,0.3638589085834234
2016,Education,239546,185024,54522,0.2509896207693581,0.3059603262271552,0.1559223734106625
2016,Engineering,130476,42983,87493,0.13670911540790817,0.07107776668011614,0.25021305558892
2016,Health & Medical,166018,128488,37530,0.1739490321728908,0.21247097887990052,0.10732854029753428
2016,Natural Sciences,14682,8191,6491,0.01538339029721104,0.013544843004835199,0.018563004398382495
2016,Other/Unknown,23186,10949,12237,0.024293644423861543,0.018105540966907654,0.03499545290756533
2016,Social & Behavioral Sciences,51881,36811,15070,0.05435946546857417,0.06087159270552906,0.04309728489964939
2016,Total,954406,604732,349674,1,1,1
2017,Arts & Humanities,21087,10545,10542,0.02102875036149865,0.016698813267836614,0.02839305337096809
2017,Business & Management,306415,181034,125381,0.3055685750471195,0.28668117222660344,0.3376920342160264
2017,Education,253298,190974,62324,0.2525983027015168,0.30242192176499094,0.1678589127577514
2017,Engineering,146559,50745,95814,0.14615415299620052,0.08035858504280408,0.2580584344228739
2017,Health & Medical,180556,138257,42299,0.18005724144120785,0.21894052403710637,0.11392503932257439
2017,Natural Sciences,15651,8589,7062,0.015607766486831477,0.013601337805353123,0.01902027536575381
2017,Other/Unknown,23932,11571,12361,0.02386589148059874,0.018323562666869363,0.033292215207601644
